ID,FS1,FS2,FS3,FS4,FS5,FS6,FS7,FS8,FS8C,HO,WH,W1,W2,W3,W4,W5,W5C,P1,P2,F1,F2,F3,F4,F5,VML,D1,D2,D3,LM,LL,LC
IP1,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,10,More likely to visit,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market the same amount,70-79,Female,98119,"community connection, seeing people",last year having to wait in line and go in one direction ,
IP2,Yes,No,No,Yes,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,60,40,More likely to visit,More likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,Under 20,Male,98119,community ,less hot food,
IP3,Yes,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market less during the pandemic,70-79,Female,98109,getting out ,restricted one way traffic,need better food trucks
IP4,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,No,Yes,No,No,,20,10,Had no effect,Had no effect,More likely to visit,Had no effect,More likely to visit,I visited the market more during the pandemic,30-39,Male,98119,the innovation to stay open ,reduced amount of vendors ,keep up the good work!
IP5,No,No,No,No,No,Yes,Yes,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,10,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98119,,lines for entry discouraged me,
IP6,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,20,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,20-29,Male,98119,the people ,none,(smiley face drawn) thank you for what you do!
IP7,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,30,More likely to visit,More likely to visit,More likely to visit,More likely to visit,More likely to visit,I visited the market the same amount,30-39,Female,98119,,,
IP8,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Female,98119,getting local food,health concerns,nope (smiley face drawn)
IP9,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,No,Yes,No,No,,0,0,Less likely to visit,Less likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,50-59,Male,98119,"people, small biz!",crowds (underlined for emphasis),love the new food truck set-up
IP10,No,No,No,No,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,No,No,No,No,Yes,my wife volunteers :),10,10,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,50-59,Male,98119,seeing people outside of home,nothing ,no
IP11,No,No,No,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,5,5,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,60-69,Female,98117,supporting farmers,concerns about virus transmission ,
IP12,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,No,Yes,No,,50,10,More likely to visit,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,50-59,Male,98119,"excellent produce, talking to farmer/producers (this was the same as before the pandemic)",,"this wasn't in the survey, but the reason I shopped less during the pandemic is that I was unemployed"
IP13,No,No,No,No,No,Yes,No,No,,First time visiting,Different market(s) outside of Seattle,Yes,Yes,No,No,No,,10,0,Had no effect,Had no effect,Less likely to visit,Had no effect,More likely to visit,I visited the market less during the pandemic,30-39,Female,96161,community,lack of markets ,
IP14,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,70,More likely to visit,More likely to visit,More likely to visit,More likely to visit,More likely to visit,I visited the market more during the pandemic,20-29,Female,98119,outdoor shopping and a way to get out of the house for fun ,nothing! This was honestly a godsend,Thank you so much for all you do! 
IP15,No,No,No,No,No,Yes,No,Yes,"Pacific Coast Harvest, New Roots Organic: subscription delivery but not CSA",A few times a year,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,5,Less likely to visit,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,50-59,Female,98109,felt safer outside… but I was still fearful until fully vaccinated ,still being around potentially infectious people ,"I missed the market! But still supported local farmers through Pacific Coast Harvest. Pre-pandemic visited weekly, but during the pandemic -arrow drawn pointing to ""a few times a year"". Plan to return to weekly or biweekly. "
IP16,No,No,No,Yes,No,Yes,Yes,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,Yes,No,,5,0,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,I visited the market less during the pandemic,40-49,Female,98119,great products and vendors ,I missed coming,
IP17,Yes,Yes,No,Yes,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,30,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,60-69,Female,98119,that they are still here!,,all was well
IP18,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,Yes,No,No,,20,30,Had no effect,Less likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,40-49,Female,98119,meeting new people (heart drawn),when we were not allowed to bring dogs,great survey!
IP19,Yes,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,20,20,Had no effect,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market more during the pandemic,20-29,Female,98109,following safety guidelines,,Having more handmade goods would possibly bring more people in. Particularly if they use parts of an animal and support using the whole animal for their products. 
IP20,Yes,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,20,20,Had no effect,More likely to visit,More likely to visit,Less likely to visit,More likely to visit,I visited the market the same amount,20-29,Female,98109,following CDC guidelines,nothing,Love the farmers market
IP21,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,40,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,Under 20,Female,98133,connecting with the people whose food I eat ,the limited occupancy and lines ,
IP22,No,No,No,Yes,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market less during the pandemic,30-39,Female,60504,social connection,,great market at Queen Anne!
IP23,No,No,No,No,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,80 or over,Female,98119,the people who kept at 6' distance and it was outside and masks were worn,worries about getting COVID,
IP24,Yes,No,Yes,Yes,No,No,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,Yes,Yes,No,,30,30,Had no effect,Had no effect,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,30-39,Male,98109,it's outside!,the whole debacle when they re-opened. The covert markets were the best,
IP25,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,Yes,No,No,,50,70,More likely to visit,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market more during the pandemic,20-29,Male,98107,,,
IP26,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,20,15,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,40-49,Female,98109,sweets,,I love the Market and I am on the flyers and T-shirts!
IP27,No,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,No,Yes,Yes,No,No,,10,0,Had no effect,Had no effect,More likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,80 or over,Female,98109,,lines and that it was closed,love this place
IP28,No,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,10,Had no effect,Had no effect,Less likely to visit,Had no effect,More likely to visit,I visited the market the same amount,50-59,Female,98119,That it persisted to provide this service to community/ to continue to serve as a place for farmers to sell,continuation of mask regs past vaccination,
IP29,Yes,No,No,No,No,Yes,No,No,,Monthly,Different market(s) in Seattle,No,Yes,Yes,No,No,,10,30,More likely to visit,More likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,40-49,Female,98112,community connection with farmers and shoppers,,
IP30,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,30,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Male,98109,opportunity to support local biz,"lines, unknowns about CDC practices",
IP31,Yes,No,Yes,No,Yes,Yes,No,No,,Weekly,Different market(s) in Seattle,No,Yes,No,Yes,No,,100,80,Had no effect,Had no effect,More likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,60-69,Male,98119/ 98109,,,
IP32,No,No,No,Yes,No,Yes,No,No,,A few times a year,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98119,,N/A -Didn't visit,
IP33,No,No,Yes,Yes,No,Yes,Yes,No,,Weekly,Different market(s) in Seattle,Yes,Yes,Yes,Yes,No,,10,10,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Female,98119,sense of community again,"smaller, eating space limits",
IP34,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market more during the pandemic,20-29,Male,98119,"A wholesome escape, relaxing, great food for my pandemic cooking","Hard to distance, but totally understand the challenges ",very glad/ thankful we have the market!
IP35,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,No,No,,5,0,Had no effect,More likely to visit,More likely to visit,Less likely to visit,More likely to visit,I visited the market the same amount,50-59,Male,98119,that it has continued,restriction of entry,
IP36,No,No,No,Yes,No,Yes,No,No,,A few times a year,Different market(s) outside of Seattle,No,Yes,No,Yes,No,,10,10,Had no effect,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market less during the pandemic,40-49,Female,98003,"fresh fruit, veggies, crafts, and music",NA,Queen Anne Farmers market is great. I especially love the African Artist with the copper bracelets. 
IP37,No,No,No,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,40-49,Female,78749,"missed the fresh food, did not go during the pandemic until fully vaccinated",haven't been during pandemic,"in general, prefer spending money at the farmers market, rather than grocery stores. "
IP38,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,No,Yes,No,,20,10,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,40-49,Female,98119,seeing people ,lines + not being able to mingle,"I come almost weekly, mainly for quality produce + to teach my kids about quality food. Price is high but good to socialize. "
IP39,No,No,Yes,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,0,Had no effect,Less likely to visit,More likely to visit,Had no effect,Less likely to visit,I visited the market less during the pandemic,40-49,Male,98109,,,
IP40,No,Yes,Yes,No,No,No,No,No,,Monthly,The closest market to me in my neighborhood,No,Yes,Yes,No,No,,20,40,More likely to visit,More likely to visit,More likely to visit,Less likely to visit,More likely to visit,I visited the market more during the pandemic,40-49,Female,43209,fresh food,not a lot of prepared food vendors,
IP41,No,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,Yes,No,,30,0,More likely to visit,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,40-49,Female,98109,,closed in the QA area,
IP42,No,No,No,Yes,No,Yes,Yes,No,,First time visiting,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,0,0,Had no effect,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market the same amount,30-39,Female,98109,N/A,We plan to be better about visiting the market ,
IP43,No,No,No,Yes,No,Yes,No,No,,First time visiting,The closest market to me in my neighborhood,Yes,Yes,Yes,Yes,No,,10,0,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,30-39,Female,98021,,,
IP44,Yes,No,Yes,No,No,No,No,No,,Weekly,Different market(s) in Seattle,No,Yes,Yes,No,No,,10,30,More likely to visit,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market more during the pandemic,70-79,Male,98117,fresh greens and berries,,"Love Queen Anne Farmers Market -funkier, less crowded than Ballard Sunday Market "
IP45,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,30,More likely to visit,More likely to visit,More likely to visit,More likely to visit,Had no effect,I visited the market more during the pandemic,70-79,Female,98109,safety protocols in place,less opportunity to socialize and eat at the market,visited the market more during the pandemic mainly because I didn't travel in 2020
IP46,No,No,Yes,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,No,No,Yes,"fresh, organic food",5,5,More likely to visit,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market the same amount,60-69,Female,98119,"enjoy helping businesses and getting to know people, contributing to my community of Queen Anne","having to wear gloves and masks, went through more hardship to access good food",
IP47,Yes,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,10,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,60-69,Female,98119,"Music, community",,
IP48,No,No,No,No,No,Yes,Yes,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,10,10,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,Had no effect,I visited the market more during the pandemic,20-29,Female,98119,Community building,social distancing ,
IP49,Yes,No,Yes,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,No,No,No,,50,30,Had no effect,More likely to visit,Had no effect,Had no effect,Had no effect,I visited the market the same amount,60-69,Female,98144,they're open,restrictions,
IP50,No,No,No,Yes,No,No,Yes,No,,A few times a year,Different market(s) in Seattle,Yes,No,No,Yes,No,,0,0,Had no effect,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market the same amount,20-29,Female,98199,flowers and seeing people,lines,more food trucks
IP51,Yes,No,No,Yes,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,No,,10,50,Had no effect,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market more during the pandemic,20-29,Female,98109,something to do,waiting in line,
IP52,No,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,20,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,70-79,Female,98119,friendliness of vendors/suppliers,rigidity of access/ egress,Thx good luck
IP53,No,Yes,No,No,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,No,,10,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market the same amount,60-69,Female,98119,supporting small businesses,capacity restrictions - you don't feel comfortable lingering to 'shop',
IP54,No,No,No,No,No,Yes,No,No,,Every few months,Different market(s) in Seattle,Yes,No,No,Yes,No,,10,0,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,Had no effect,I visited the market the same amount,30-39,Female,98109,community,lines,Queen Anne farmers market is the best (heart drawn)
IP55,Yes,No,No,No,No,Yes,Yes,No,,First time visiting,Different market(s) outside of Seattle,Yes,Yes,No,No,Yes,organic and local,10,10,More likely to visit,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market less during the pandemic,30-39,Male,98104,organic foods,open times (need more availability),more organic options (underlined three times for emphasis)
IP56,Yes,No,No,Yes,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,Yes,support farmers,20,20,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,50-59,Female,98119,they kept the # of people lower,,
IP57,No,No,Yes,No,No,Yes,No,No,,A few times a year,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,10,More likely to visit,More likely to visit,More likely to visit,More likely to visit,More likely to visit,I visited the market the same amount,20-29,Female,98119,flowers!,,
IP58,No,No,No,No,No,Yes,No,No,,First time visiting,Different market(s) outside of Seattle,Yes,No,No,Yes,No,,0,0,Had no effect,More likely to visit,More likely to visit,Less likely to visit,More likely to visit,I visited the market the same amount,20-29,Female,97215,,,
IP59,No,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,No,No,,10,0,Had no effect,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,50-59,Male,98117,,,
IP60,No,No,No,No,No,Yes,No,No,,First time visiting,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,40,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,50-59,Female,25071,community support of local foods,,Thanks (underlined) / Home market in another state 
IP61,Yes,No,No,No,No,No,Yes,No,,Weekly,The closest market to me in my neighborhood,No,Yes,Yes,No,No,,30,30,More likely to visit,More likely to visit,More likely to visit,More likely to visit,More likely to visit,I visited the market more during the pandemic,40-49,Female,98117,safe community,higher prices ,we (heart drawn) the Ballard F. Mkt! 
IP62,No,No,No,Yes,No,Yes,Yes,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,20,0,Less likely to visit,Less likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market less during the pandemic,30-39,Female,98058,"local foods, food trucks, friendly people! ",just harder to get here sometimes,it feels good to be back! 
IP63,No,No,No,No,No,Yes,No,No,,A few times a year,The closest market to me in my neighborhood,Yes,No,No,No,No,,0,0,Less likely to visit,Less likely to visit,More likely to visit,More likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Female,87111,,,
IP64,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,Yes,Yes,No,,50,50,Had no effect,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market the same amount,50-59,Female,98117,that it kept going! And it felt safe,,
IP65,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,No,No,No,No,,30,20,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,30-39,Female,98103,that it was open (smiley face drawn),lines,
IP66,Yes,No,Yes,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,40,More likely to visit,More likely to visit,Had no effect,Had no effect,Had no effect,I visited the market more during the pandemic,30-39,Male,98107,"access to healthy food, supporting local farmers/businesses, continued operation (e.g. drive through)",,appreciate efforts to stay open + maintain safe access to market 
IP67,Yes,No,No,Yes,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,Yes,Yes,No,,80,50,Had no effect,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,60-69,Female,98103,chance to connect with my farmer friends and give them $,waiting in lines/ less vendors ,please encourage all vendors to return to the market. Especially people with baked goods! 
IP68,No,No,Yes,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,10,Had no effect,More likely to visit,Had no effect,Less likely to visit,More likely to visit,I visited the market the same amount,60-69,Female,98119,"good food, talking to vendors",,"Primarily visit Queen Anne, Ballard, U. Dist. "
IP69,Yes,No,No,No,No,Yes,No,No,,Monthly,Different market(s) in Seattle,No,No,No,Yes,Yes,fun!,10,10,Had no effect,Had no effect,More likely to visit,Had no effect,Had no effect,I visited the market the same amount,60-69,Female,98103,"community, opportunity to get out in safe environment",all good!,glad you are back in full force! 
IP70,Yes,No,Yes,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,No,Yes,No,,30,20,Had no effect,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,70-79,Female,98121,"fresh produce, eggs",waiting in line,"have more ranch plus farm vendors and fewer T-shirts, etc., no dogs"
IP71,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,No,No,No,,60,60,More likely to visit,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market the same amount,20-29,Male,98109,the open air and the great produce,,
IP72,No,No,No,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,30,10,Less likely to visit,Had no effect,Had no effect,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,20-29,Female,98107,great food,less dogs,
IP73,Yes,No,No,Yes,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,Yes,No,,20,20,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Male,98107,stayed open. Skip line if online pickup ,"masking, lines (underlined both single time) ",great to see the full reopen!
IP74,No,No,No,Yes,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,Yes,No,No,,20,0,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,30-39,Female,98109,,,happy to be back! :)
IP75,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,Yes,Yes,Yes,the quality of the food and SNAP and EBT can be used at the Seattle Farmers Markets ,50,80,More likely to visit,More likely to visit,More likely to visit,Less likely to visit,More likely to visit,I visited the market more during the pandemic,40-49,Female,98199,the fact that it is outside and I felt safe (underlined I felt safe one time). Good quality food. People abided by COVID regualtions better than normal grocery stores.,"long lines and at the beginning, the FM in Ballard and Central District ran out of the wooden farmers bucks. It is expensive. ",I love supporting our farmers markets and being connected to producers and fishermen (I (heart drawn) Wilson Fish!)). Thank you!
IP76,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,Yes,No,Yes,No,,10,40,Had no effect,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market more during the pandemic,50-59,Female,98117,"limited capacity + lines = more serious shoppers, less wanderers/ socializing. When no dogs allowed ",fewer vendors,"propose ""power shopping"" early hour for customers who want to shop with less crowds."
IP77,No,No,No,No,No,Yes,Yes,No,,Monthly,Different market(s) in Seattle,Yes,No,No,Yes,No,,10,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,20-29,Nonbinary,98101,"n/a, did not attend ",limited hours ,n/a 
IP78,No,No,No,No,No,No,Yes,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,No,,40,10,Less likely to visit,Less likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,20-29,Nonbinary,98101,food!,people,Thanks! 
IP79,No,No,No,Yes,No,Yes,No,No,,Every few months,Different market(s) in Seattle,Yes,No,No,Yes,No,,20,10,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,30-39,Male,98052,"community connection, supporting local business","limited capacity, long lines to get in, lack of options",
IP80,No,No,No,No,No,No,Yes,No,,First time visiting,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,0,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Male,98121,,,
IP81,Yes,No,No,No,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,No,No,Yes,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,20-29,Female,98105,,,
IP82,No,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,Yes,No,No,,20,0,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,20-29,Female,98105,limited capacity/ safety protocol,lines,
